[2023-06-22T09:23:56.284] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T09:23:56.323] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T09:23:56.328] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T09:23:56.331] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T09:23:56.333] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T09:23:56.647] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T09:24:15.119] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:24:20.174] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:25:12.389] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:25:38.244] [FATAL] GET - Remote: undefined, path: /api/user/me
[2023-06-22T09:25:48.327] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:27:16.799] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T09:27:16.869] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T09:27:16.873] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T09:27:16.878] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T09:27:16.880] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T09:27:17.380] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T09:28:02.770] [FATAL] POST - Remote: http://localhost:3000, path: /api/user
[2023-06-22T09:28:34.374] [FATAL] POST - Remote: http://localhost:3000, path: /api/user
[2023-06-22T09:28:54.499] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:29:15.398] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:29:30.932] [FATAL] POST - Remote: http://localhost:3000, path: /api/user
[2023-06-22T09:29:38.390] [FATAL] POST - Remote: http://localhost:3000, path: /api/user
[2023-06-22T09:29:58.846] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:31:09.594] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:32:52.437] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T09:46:39.324] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T09:46:39.529] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T09:46:39.534] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T09:46:39.541] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T09:46:39.544] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T09:46:40.406] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T09:47:07.607] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:47:31.119] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:50:25.406] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:51:32.405] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T09:51:32.451] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T09:51:32.462] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T09:51:32.469] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T09:51:32.476] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T09:51:33.215] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T09:51:45.947] [FATAL] GET - Remote: undefined, path: /apis
[2023-06-22T09:51:45.962] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T09:51:46.106] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T09:51:46.112] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T09:51:46.117] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T09:51:46.119] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T09:52:03.053] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T09:52:36.287] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=10
[2023-06-22T09:52:45.906] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=2
[2023-06-22T09:52:53.877] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:54:46.303] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:54:48.712] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:55:11.179] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:55:57.343] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:56:03.306] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:56:20.708] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:56:26.773] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:57:05.734] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:57:59.126] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:59:16.222] [FATAL] GET - Remote: undefined, path: /api/user?start=2&item=2
[2023-06-22T09:59:46.122] [FATAL] GET - Remote: undefined, path: /api/user
[2023-06-22T09:59:53.682] [FATAL] GET - Remote: undefined, path: /api/user?start=0&item=0
[2023-06-22T10:00:49.627] [FATAL] GET - Remote: undefined, path: /api/user?start=0&item=0
[2023-06-22T10:00:58.075] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=1
[2023-06-22T10:01:01.400] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=3
[2023-06-22T10:01:05.944] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=10
[2023-06-22T10:03:30.333] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=10
[2023-06-22T10:07:36.292] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:07:54.156] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:08:52.300] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:10:04.117] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:11:04.333] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:15:12.376] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=10
[2023-06-22T10:15:20.471] [FATAL] GET - Remote: undefined, path: /api/user?start=1&item=2
[2023-06-22T10:17:56.450] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:19:00.849] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:19:27.343] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:19:49.132] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:20:30.183] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:20:56.293] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:21:55.479] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:21:58.643] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:22:17.990] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:22:44.069] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:22:48.661] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:23:03.128] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:23:07.118] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:23:28.304] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:26:06.128] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:26:32.829] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:26:52.172] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:27:20.982] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:29:39.484] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
